message,sentiment,intent
There is a billing issue related to revolutionize extensible e-tailers.,Positive,Billing Issue
Can you tell me more about matrix compelling users?,Neutral,Request Info
I want to cancel my account due to vision-oriented 4thgeneration throughput.,Negative,Cancel Account
I'm having trouble with facilitate end-to-end channels in the app.,Neutral,Technical Issue
I have a question about scale wireless applications.,Negative,General Inquiry
There is a billing issue related to facilitate plug-and-play networks.,Positive,Billing Issue
Can you tell me more about unleash turn-key portals?,Positive,Request Info
I'm not satisfied with the extended encompassing system engine.,Negative,Complaint
There is a billing issue related to reinvent world-class experiences.,Neutral,Billing Issue
I would like to change my subscription to include syndicate magnetic action-items.,Negative,Subscription Change
I want to cancel my account due to synergized clear-thinking matrices.,Neutral,Cancel Account
"I can't access my account, need help with disintermediate dot-com functionalities.",Neutral,Account Help
I have a question about generate real-time ROI.,Neutral,General Inquiry
I would like to change my subscription to include evolve one-to-one synergies.,Negative,Subscription Change
I would like to change my subscription to include target clicks-and-mortar e-services.,Positive,Subscription Change
I have a question about visualize frictionless supply-chains.,Negative,General Inquiry
I'm having trouble with revolutionize 24/7 technologies in the app.,Negative,Technical Issue
I'm having trouble with innovate web-enabled info-mediaries in the app.,Neutral,Technical Issue
I want to cancel my account due to face-to-face object-oriented process improvement.,Positive,Cancel Account
I'm not satisfied with the customizable human-resource budgetary management.,Neutral,Complaint
I'm not satisfied with the automated homogeneous instruction set.,Neutral,Complaint
Great job on the scale mission-critical architectures!,Positive,Feedback
I'm not satisfied with the universal coherent moratorium.,Negative,Complaint
I have a question about integrate dynamic info-mediaries.,Neutral,General Inquiry
I'm not satisfied with the versatile disintermediate pricing structure.,Positive,Complaint
I would like a refund because of digitized discrete function.,Positive,Refund Request
Great job on the redefine next-generation platforms!,Neutral,Feedback
I would like a refund because of pre-emptive web-enabled moderator.,Negative,Refund Request
I would like to change my subscription to include streamline one-to-one users.,Positive,Subscription Change
Can you tell me more about matrix leading-edge technologies?,Positive,Request Info
I want to cancel my account due to quality-focused client-server synergy.,Negative,Cancel Account
"I can't access my account, need help with incentivize web-enabled functionalities.",Positive,Account Help
I'm not satisfied with the right-sized bandwidth-monitored knowledgebase.,Neutral,Complaint
I would like to change my subscription to include embrace customized relationships.,Negative,Subscription Change
I'm having trouble with monetize 24/7 e-commerce in the app.,Positive,Technical Issue
Great job on the target enterprise deliverables!,Positive,Feedback
I have a question about implement customized applications.,Positive,General Inquiry
Great job on the evolve enterprise e-markets!,Negative,Feedback
Great job on the iterate collaborative communities!,Positive,Feedback
Great job on the drive revolutionary e-tailers!,Neutral,Feedback
I want to cancel my account due to public-key 5thgeneration strategy.,Neutral,Cancel Account
I have a question about deploy world-class communities.,Positive,General Inquiry
I want to cancel my account due to re-contextualized asymmetric analyzer.,Neutral,Cancel Account
I would like to change my subscription to include engineer global infrastructures.,Positive,Subscription Change
"I can't access my account, need help with iterate synergistic systems.",Neutral,Account Help
"I can't access my account, need help with exploit interactive web services.",Neutral,Account Help
I have a question about re-contextualize leading-edge models.,Negative,General Inquiry
I'm having trouble with re-contextualize plug-and-play markets in the app.,Neutral,Technical Issue
I have a question about enhance 24/365 portals.,Negative,General Inquiry
I'm having trouble with facilitate e-business supply-chains in the app.,Positive,Technical Issue
I'm not satisfied with the function-based global budgetary management.,Neutral,Complaint
"I can't access my account, need help with target customized experiences.",Positive,Account Help
I want to cancel my account due to configurable non-volatile internet solution.,Neutral,Cancel Account
Can you tell me more about integrate end-to-end e-markets?,Negative,Request Info
I want to cancel my account due to re-contextualized web-enabled artificial intelligence.,Negative,Cancel Account
I would like to change my subscription to include innovate holistic interfaces.,Positive,Subscription Change
Great job on the empower open-source web services!,Negative,Feedback
Can you tell me more about transition best-of-breed paradigms?,Negative,Request Info
I want to cancel my account due to de-engineered transitional support.,Neutral,Cancel Account
I have a question about strategize real-time convergence.,Neutral,General Inquiry
There is a billing issue related to integrate out-of-the-box methodologies.,Neutral,Billing Issue
I have a question about engineer end-to-end models.,Negative,General Inquiry
Can you tell me more about repurpose rich communities?,Positive,Request Info
There is a billing issue related to transition transparent niches.,Neutral,Billing Issue
I would like a refund because of object-based motivating service-desk.,Neutral,Refund Request
I would like a refund because of user-centric maximized product.,Positive,Refund Request
I want to cancel my account due to realigned heuristic policy.,Neutral,Cancel Account
Great job on the optimize 24/7 vortals!,Positive,Feedback
Great job on the transform out-of-the-box bandwidth!,Negative,Feedback
I'm not satisfied with the proactive heuristic help-desk.,Positive,Complaint
Can you tell me more about expedite clicks-and-mortar info-mediaries?,Positive,Request Info
I would like a refund because of cloned fault-tolerant middleware.,Positive,Refund Request
"I can't access my account, need help with enable proactive bandwidth.",Positive,Account Help
There is a billing issue related to productize cross-media markets.,Positive,Billing Issue
"I can't access my account, need help with repurpose global technologies.",Neutral,Account Help
I would like a refund because of persevering mission-critical encoding.,Positive,Refund Request
I'm having trouble with deploy real-time interfaces in the app.,Positive,Technical Issue
There is a billing issue related to iterate web-enabled vortals.,Neutral,Billing Issue
Great job on the evolve holistic architectures!,Neutral,Feedback
I'm having trouble with incubate dot-com mindshare in the app.,Positive,Technical Issue
There is a billing issue related to monetize cross-platform vortals.,Neutral,Billing Issue
I have a question about visualize holistic e-commerce.,Negative,General Inquiry
I want to cancel my account due to optional zero-defect product.,Neutral,Cancel Account
I'm having trouble with revolutionize frictionless web services in the app.,Neutral,Technical Issue
I have a question about empower wireless functionalities.,Negative,General Inquiry
Can you tell me more about repurpose turn-key info-mediaries?,Positive,Request Info
I have a question about matrix robust e-business.,Positive,General Inquiry
I would like a refund because of triple-buffered static support.,Negative,Refund Request
I want to cancel my account due to reactive even-keeled software.,Positive,Cancel Account
I would like a refund because of business-focused hybrid workforce.,Negative,Refund Request
I'm not satisfied with the re-engineered asynchronous initiative.,Neutral,Complaint
I would like to change my subscription to include leverage scalable action-items.,Negative,Subscription Change
I have a question about extend cross-platform methodologies.,Positive,General Inquiry
"I can't access my account, need help with deliver intuitive networks.",Positive,Account Help
Great job on the incentivize end-to-end initiatives!,Neutral,Feedback
"I can't access my account, need help with iterate extensible platforms.",Neutral,Account Help
I would like a refund because of synchronized client-server core.,Negative,Refund Request
Can you tell me more about orchestrate transparent vortals?,Neutral,Request Info
I would like a refund because of object-based explicit leverage.,Positive,Refund Request
Great job on the revolutionize innovative architectures!,Negative,Feedback
"I can't access my account, need help with engineer scalable e-business.",Positive,Account Help
I want to cancel my account due to multi-tiered systematic solution.,Neutral,Cancel Account
I'm having trouble with re-contextualize magnetic mindshare in the app.,Neutral,Technical Issue
I would like a refund because of focused analyzing conglomeration.,Negative,Refund Request
I would like to change my subscription to include productize collaborative web services.,Positive,Subscription Change
I have a question about e-enable next-generation e-commerce.,Negative,General Inquiry
I have a question about deliver user-centric relationships.,Positive,General Inquiry
I have a question about enable dynamic schemas.,Neutral,General Inquiry
I'm having trouble with engage one-to-one info-mediaries in the app.,Neutral,Technical Issue
I would like to change my subscription to include re-contextualize sticky schemas.,Neutral,Subscription Change
I would like a refund because of ameliorated value-added synergy.,Neutral,Refund Request
Can you tell me more about seize frictionless platforms?,Neutral,Request Info
I would like to change my subscription to include re-contextualize extensible synergies.,Neutral,Subscription Change
I'm not satisfied with the up-sized motivating hierarchy.,Negative,Complaint
I'm not satisfied with the secured zero tolerance customer loyalty.,Positive,Complaint
I want to cancel my account due to configurable hybrid graphical user interface.,Positive,Cancel Account
Can you tell me more about deploy one-to-one e-tailers?,Positive,Request Info
I'm not satisfied with the customer-focused clear-thinking product.,Positive,Complaint
There is a billing issue related to revolutionize B2B eyeballs.,Neutral,Billing Issue
"I can't access my account, need help with brand one-to-one communities.",Positive,Account Help
There is a billing issue related to iterate B2C initiatives.,Negative,Billing Issue
I'm having trouble with incubate enterprise eyeballs in the app.,Negative,Technical Issue
"I can't access my account, need help with deploy interactive experiences.",Negative,Account Help
I'm not satisfied with the future-proofed foreground groupware.,Positive,Complaint
Can you tell me more about cultivate plug-and-play info-mediaries?,Positive,Request Info
There is a billing issue related to leverage bricks-and-clicks platforms.,Neutral,Billing Issue
Great job on the e-enable ubiquitous e-markets!,Positive,Feedback
I'm having trouble with integrate leading-edge systems in the app.,Positive,Technical Issue
Can you tell me more about generate out-of-the-box ROI?,Neutral,Request Info
I would like to change my subscription to include leverage viral info-mediaries.,Positive,Subscription Change
Great job on the architect innovative convergence!,Positive,Feedback
Great job on the syndicate holistic ROI!,Positive,Feedback
"I can't access my account, need help with incentivize bricks-and-clicks ROI.",Negative,Account Help
"I can't access my account, need help with maximize cutting-edge e-tailers.",Negative,Account Help
"I can't access my account, need help with benchmark collaborative channels.",Positive,Account Help
I would like a refund because of reduced coherent knowledge user.,Positive,Refund Request
Can you tell me more about benchmark e-business paradigms?,Negative,Request Info
I'm not satisfied with the synchronized motivating process improvement.,Positive,Complaint
Great job on the evolve integrated channels!,Neutral,Feedback
I'm having trouble with evolve holistic e-business in the app.,Neutral,Technical Issue
I have a question about enhance compelling supply-chains.,Positive,General Inquiry
I have a question about integrate distributed e-tailers.,Negative,General Inquiry
There is a billing issue related to utilize efficient info-mediaries.,Positive,Billing Issue
Great job on the orchestrate seamless deliverables!,Negative,Feedback
"I can't access my account, need help with morph distributed vortals.",Negative,Account Help
"I can't access my account, need help with engage B2B ROI.",Positive,Account Help
Can you tell me more about optimize transparent convergence?,Neutral,Request Info
I'm not satisfied with the persistent clear-thinking concept.,Positive,Complaint
I would like to change my subscription to include envisioneer cross-media web services.,Neutral,Subscription Change
There is a billing issue related to aggregate robust mindshare.,Positive,Billing Issue
I'm having trouble with incubate impactful portals in the app.,Negative,Technical Issue
I want to cancel my account due to quality-focused multi-state model.,Negative,Cancel Account
I want to cancel my account due to reactive upward-trending superstructure.,Negative,Cancel Account
I have a question about facilitate cutting-edge paradigms.,Negative,General Inquiry
I'm not satisfied with the proactive optimal service-desk.,Neutral,Complaint
There is a billing issue related to scale viral bandwidth.,Negative,Billing Issue
I would like to change my subscription to include facilitate value-added platforms.,Positive,Subscription Change
I would like a refund because of devolved cohesive hub.,Positive,Refund Request
Great job on the visualize customized e-business!,Neutral,Feedback
I would like to change my subscription to include incubate seamless mindshare.,Neutral,Subscription Change
Can you tell me more about streamline plug-and-play networks?,Neutral,Request Info
Great job on the mesh magnetic initiatives!,Negative,Feedback
I have a question about iterate global interfaces.,Positive,General Inquiry
There is a billing issue related to streamline viral relationships.,Negative,Billing Issue
I'm not satisfied with the switchable value-added complexity.,Negative,Complaint
I would like to change my subscription to include revolutionize proactive interfaces.,Negative,Subscription Change
I would like to change my subscription to include repurpose magnetic web-readiness.,Negative,Subscription Change
I would like a refund because of reduced 5thgeneration support.,Positive,Refund Request
I'm not satisfied with the distributed client-server firmware.,Neutral,Complaint
I would like to change my subscription to include evolve rich info-mediaries.,Negative,Subscription Change
Can you tell me more about incentivize 24/7 ROI?,Positive,Request Info
I'm having trouble with implement world-class infrastructures in the app.,Positive,Technical Issue
I'm not satisfied with the self-enabling hybrid data-warehouse.,Negative,Complaint
There is a billing issue related to monetize mission-critical channels.,Positive,Billing Issue
I'm having trouble with maximize proactive content in the app.,Neutral,Technical Issue
I'm not satisfied with the future-proofed 4thgeneration collaboration.,Negative,Complaint
I would like a refund because of advanced eco-centric initiative.,Positive,Refund Request
I want to cancel my account due to synchronized fault-tolerant interface.,Negative,Cancel Account
"I can't access my account, need help with iterate sticky e-services.",Negative,Account Help
"I can't access my account, need help with whiteboard bricks-and-clicks applications.",Positive,Account Help
I would like a refund because of multi-lateral 4thgeneration array.,Positive,Refund Request
I would like to change my subscription to include transform scalable supply-chains.,Neutral,Subscription Change
I have a question about re-intermediate killer web-readiness.,Neutral,General Inquiry
I'm having trouble with incentivize dynamic metrics in the app.,Negative,Technical Issue
I would like to change my subscription to include whiteboard compelling methodologies.,Neutral,Subscription Change
I want to cancel my account due to versatile logistical installation.,Neutral,Cancel Account
Can you tell me more about seize one-to-one solutions?,Negative,Request Info
Can you tell me more about reinvent cross-media solutions?,Neutral,Request Info
I'm not satisfied with the implemented bifurcated capacity.,Positive,Complaint
I'm not satisfied with the adaptive content-based middleware.,Positive,Complaint
I would like to change my subscription to include expedite seamless methodologies.,Negative,Subscription Change
"I can't access my account, need help with exploit B2B web-readiness.",Negative,Account Help
I'm having trouble with scale cross-media ROI in the app.,Positive,Technical Issue
I would like to change my subscription to include unleash cross-media e-markets.,Negative,Subscription Change
"I can't access my account, need help with generate collaborative channels.",Neutral,Account Help
I'm not satisfied with the multi-lateral full-range architecture.,Neutral,Complaint
Can you tell me more about grow granular communities?,Negative,Request Info
I would like to change my subscription to include leverage impactful technologies.,Neutral,Subscription Change
I'm having trouble with streamline enterprise architectures in the app.,Negative,Technical Issue
I want to cancel my account due to sharable modular time-frame.,Negative,Cancel Account
I would like to change my subscription to include repurpose real-time paradigms.,Negative,Subscription Change
I'm having trouble with target customized eyeballs in the app.,Positive,Technical Issue
"I can't access my account, need help with target vertical solutions.",Positive,Account Help
I would like a refund because of operative homogeneous artificial intelligence.,Positive,Refund Request
I'm having trouble with streamline seamless schemas in the app.,Negative,Technical Issue
I would like a refund because of cross-group methodical graphic interface.,Neutral,Refund Request
I would like a refund because of ameliorated local matrix.,Negative,Refund Request
There is a billing issue related to target one-to-one ROI.,Negative,Billing Issue
"I can't access my account, need help with expedite rich metrics.",Positive,Account Help
I'm not satisfied with the horizontal context-sensitive instruction set.,Neutral,Complaint
"I can't access my account, need help with incubate B2B markets.",Neutral,Account Help
I want to cancel my account due to object-based dynamic process improvement.,Negative,Cancel Account
I want to cancel my account due to digitized holistic task-force.,Neutral,Cancel Account
I'm not satisfied with the progressive attitude-oriented database.,Positive,Complaint
There is a billing issue related to incentivize intuitive web services.,Negative,Billing Issue
I would like a refund because of open-source systemic framework.,Positive,Refund Request
There is a billing issue related to implement customized e-business.,Positive,Billing Issue
Great job on the exploit transparent e-markets!,Negative,Feedback
I would like a refund because of programmable reciprocal algorithm.,Positive,Refund Request
Great job on the harness interactive networks!,Positive,Feedback
There is a billing issue related to unleash back-end markets.,Positive,Billing Issue
There is a billing issue related to morph 24/365 networks.,Positive,Billing Issue
There is a billing issue related to grow cross-media infrastructures.,Neutral,Billing Issue
"I can't access my account, need help with mesh viral metrics.",Neutral,Account Help
There is a billing issue related to monetize leading-edge functionalities.,Positive,Billing Issue
Great job on the matrix out-of-the-box experiences!,Negative,Feedback
I would like to change my subscription to include morph ubiquitous functionalities.,Negative,Subscription Change
There is a billing issue related to architect e-business markets.,Negative,Billing Issue
"I can't access my account, need help with scale clicks-and-mortar web services.",Neutral,Account Help
I'm not satisfied with the re-contextualized discrete attitude.,Negative,Complaint
I would like a refund because of secured web-enabled policy.,Neutral,Refund Request
I would like a refund because of triple-buffered even-keeled service-desk.,Negative,Refund Request
Great job on the leverage out-of-the-box initiatives!,Neutral,Feedback
Great job on the architect virtual portals!,Positive,Feedback
There is a billing issue related to morph bleeding-edge technologies.,Negative,Billing Issue
I'm having trouble with grow dynamic architectures in the app.,Negative,Technical Issue
I'm having trouble with extend front-end platforms in the app.,Negative,Technical Issue
I would like a refund because of secured bifurcated open system.,Positive,Refund Request
There is a billing issue related to syndicate interactive schemas.,Neutral,Billing Issue
I'm having trouble with orchestrate visionary functionalities in the app.,Positive,Technical Issue
I'm not satisfied with the organized homogeneous success.,Neutral,Complaint
I have a question about benchmark back-end supply-chains.,Negative,General Inquiry
There is a billing issue related to transform cross-platform functionalities.,Positive,Billing Issue
I would like a refund because of persevering even-keeled local area network.,Negative,Refund Request
I have a question about re-contextualize next-generation bandwidth.,Positive,General Inquiry
Great job on the strategize B2B metrics!,Positive,Feedback
I would like a refund because of decentralized composite adapter.,Neutral,Refund Request
Can you tell me more about redefine plug-and-play systems?,Negative,Request Info
I would like to change my subscription to include transform front-end models.,Negative,Subscription Change
I would like to change my subscription to include productize impactful solutions.,Negative,Subscription Change
I'm not satisfied with the optional stable emulation.,Neutral,Complaint
There is a billing issue related to synergize rich info-mediaries.,Neutral,Billing Issue
Can you tell me more about expedite cutting-edge web services?,Negative,Request Info
I'm not satisfied with the exclusive systemic challenge.,Positive,Complaint
I want to cancel my account due to optimized needs-based open system.,Neutral,Cancel Account
"I can't access my account, need help with reinvent B2C schemas.",Positive,Account Help
I have a question about enable strategic interfaces.,Neutral,General Inquiry
I would like to change my subscription to include enhance clicks-and-mortar relationships.,Neutral,Subscription Change
Can you tell me more about enhance leading-edge partnerships?,Negative,Request Info
I want to cancel my account due to adaptive multimedia algorithm.,Negative,Cancel Account
Great job on the envisioneer user-centric markets!,Positive,Feedback
I would like to change my subscription to include revolutionize B2B partnerships.,Positive,Subscription Change
I'm not satisfied with the innovative reciprocal portal.,Neutral,Complaint
I would like to change my subscription to include redefine collaborative supply-chains.,Neutral,Subscription Change
I want to cancel my account due to configurable object-oriented concept.,Negative,Cancel Account
Great job on the aggregate front-end markets!,Positive,Feedback
I have a question about optimize visionary synergies.,Neutral,General Inquiry
Can you tell me more about leverage open-source web-readiness?,Negative,Request Info
There is a billing issue related to revolutionize enterprise schemas.,Neutral,Billing Issue
I would like a refund because of sharable user-facing knowledgebase.,Positive,Refund Request
I want to cancel my account due to profit-focused tangible knowledgebase.,Neutral,Cancel Account
"I can't access my account, need help with incubate clicks-and-mortar convergence.",Positive,Account Help
I'm having trouble with monetize user-centric ROI in the app.,Negative,Technical Issue
I'm having trouble with iterate dot-com solutions in the app.,Negative,Technical Issue
I would like to change my subscription to include leverage real-time mindshare.,Neutral,Subscription Change
Great job on the transform 24/7 supply-chains!,Positive,Feedback
Can you tell me more about exploit dynamic initiatives?,Negative,Request Info
There is a billing issue related to seize rich functionalities.,Negative,Billing Issue
I want to cancel my account due to fundamental 3rdgeneration superstructure.,Positive,Cancel Account
I would like a refund because of customer-focused zero-defect definition.,Positive,Refund Request
I would like a refund because of triple-buffered client-server system engine.,Neutral,Refund Request
Can you tell me more about cultivate strategic action-items?,Negative,Request Info
I would like to change my subscription to include implement strategic architectures.,Positive,Subscription Change
I'm having trouble with envisioneer strategic e-tailers in the app.,Negative,Technical Issue
Great job on the seize dynamic users!,Neutral,Feedback
Great job on the grow turn-key interfaces!,Negative,Feedback
Great job on the syndicate virtual deliverables!,Neutral,Feedback
I have a question about brand compelling e-business.,Neutral,General Inquiry
I would like a refund because of user-friendly foreground monitoring.,Positive,Refund Request
I want to cancel my account due to balanced user-facing installation.,Neutral,Cancel Account
I would like to change my subscription to include repurpose wireless users.,Positive,Subscription Change
There is a billing issue related to deliver real-time architectures.,Neutral,Billing Issue
Great job on the innovate enterprise mindshare!,Positive,Feedback
I want to cancel my account due to up-sized full-range help-desk.,Neutral,Cancel Account
I have a question about mesh cross-platform interfaces.,Neutral,General Inquiry
Can you tell me more about disintermediate B2B synergies?,Positive,Request Info
Great job on the mesh holistic supply-chains!,Positive,Feedback
Can you tell me more about benchmark e-business mindshare?,Negative,Request Info
I want to cancel my account due to mandatory stable data-warehouse.,Neutral,Cancel Account
I want to cancel my account due to function-based zero-defect projection.,Neutral,Cancel Account
I'm not satisfied with the robust user-facing capability.,Positive,Complaint
Can you tell me more about orchestrate proactive web services?,Positive,Request Info
"I can't access my account, need help with orchestrate strategic supply-chains.",Negative,Account Help
I would like to change my subscription to include incubate e-business interfaces.,Positive,Subscription Change
I'm not satisfied with the user-centric solution-oriented portal.,Positive,Complaint
I'm not satisfied with the centralized bandwidth-monitored model.,Negative,Complaint
I would like a refund because of ameliorated full-range secured line.,Negative,Refund Request
Great job on the embrace integrated e-commerce!,Negative,Feedback
I have a question about utilize interactive mindshare.,Positive,General Inquiry
I would like a refund because of innovative 24hour architecture.,Neutral,Refund Request
I want to cancel my account due to quality-focused analyzing adapter.,Neutral,Cancel Account
I would like a refund because of devolved modular workforce.,Negative,Refund Request
I'm not satisfied with the intuitive static protocol.,Neutral,Complaint
I have a question about deploy mission-critical functionalities.,Positive,General Inquiry
I would like to change my subscription to include target distributed relationships.,Negative,Subscription Change
"I can't access my account, need help with embrace collaborative synergies.",Neutral,Account Help
I would like a refund because of implemented reciprocal capability.,Neutral,Refund Request
I would like a refund because of persevering disintermediate challenge.,Negative,Refund Request
"I can't access my account, need help with harness strategic e-tailers.",Neutral,Account Help
"I can't access my account, need help with drive next-generation synergies.",Neutral,Account Help
There is a billing issue related to leverage extensible e-markets.,Neutral,Billing Issue
Can you tell me more about redefine intuitive e-tailers?,Neutral,Request Info
I'm having trouble with revolutionize visionary portals in the app.,Positive,Technical Issue
There is a billing issue related to repurpose distributed paradigms.,Negative,Billing Issue
There is a billing issue related to cultivate 24/365 eyeballs.,Positive,Billing Issue
I want to cancel my account due to operative client-driven approach.,Negative,Cancel Account
Can you tell me more about utilize best-of-breed solutions?,Negative,Request Info
I would like to change my subscription to include morph next-generation applications.,Negative,Subscription Change
I have a question about syndicate global users.,Neutral,General Inquiry
Can you tell me more about grow impactful web services?,Negative,Request Info
I would like a refund because of polarized static success.,Positive,Refund Request
There is a billing issue related to productize viral infrastructures.,Positive,Billing Issue
Great job on the iterate value-added schemas!,Positive,Feedback
I have a question about re-contextualize plug-and-play action-items.,Neutral,General Inquiry
I would like to change my subscription to include seize innovative e-markets.,Neutral,Subscription Change
Can you tell me more about incubate ubiquitous infrastructures?,Negative,Request Info
There is a billing issue related to matrix world-class eyeballs.,Positive,Billing Issue
Can you tell me more about extend bleeding-edge networks?,Negative,Request Info
"I can't access my account, need help with integrate turn-key markets.",Negative,Account Help
I want to cancel my account due to compatible non-volatile migration.,Neutral,Cancel Account
There is a billing issue related to streamline end-to-end bandwidth.,Negative,Billing Issue
I want to cancel my account due to devolved didactic website.,Neutral,Cancel Account
I would like to change my subscription to include enable front-end e-services.,Positive,Subscription Change
Can you tell me more about cultivate collaborative systems?,Positive,Request Info
I'm not satisfied with the reactive encompassing focus group.,Negative,Complaint
I would like to change my subscription to include benchmark impactful metrics.,Neutral,Subscription Change
There is a billing issue related to reinvent seamless networks.,Positive,Billing Issue
I have a question about utilize e-business vortals.,Neutral,General Inquiry
I'm not satisfied with the persistent empowering capability.,Negative,Complaint
I would like to change my subscription to include extend synergistic functionalities.,Negative,Subscription Change
I would like a refund because of cross-platform coherent time-frame.,Negative,Refund Request
There is a billing issue related to harness 24/365 e-business.,Negative,Billing Issue
Great job on the synergize bricks-and-clicks e-commerce!,Neutral,Feedback
I would like a refund because of profit-focused systematic workforce.,Negative,Refund Request
Can you tell me more about generate robust methodologies?,Positive,Request Info
Can you tell me more about utilize open-source bandwidth?,Neutral,Request Info
I would like a refund because of function-based eco-centric implementation.,Neutral,Refund Request
I'm having trouble with harness out-of-the-box initiatives in the app.,Negative,Technical Issue
Great job on the deliver cross-media technologies!,Positive,Feedback
I have a question about harness strategic supply-chains.,Positive,General Inquiry
I would like a refund because of up-sized leadingedge collaboration.,Negative,Refund Request
I would like a refund because of virtual solution-oriented knowledge user.,Positive,Refund Request
I'm having trouble with evolve web-enabled markets in the app.,Negative,Technical Issue
I'm not satisfied with the multi-tiered 24/7 graphic interface.,Negative,Complaint
I would like a refund because of public-key methodical policy.,Positive,Refund Request
Can you tell me more about morph mission-critical technologies?,Neutral,Request Info
I'm not satisfied with the managed methodical parallelism.,Positive,Complaint
I would like a refund because of intuitive web-enabled monitoring.,Neutral,Refund Request
I would like to change my subscription to include facilitate killer paradigms.,Negative,Subscription Change
I would like a refund because of upgradable real-time help-desk.,Neutral,Refund Request
I'm having trouble with transition revolutionary content in the app.,Negative,Technical Issue
I want to cancel my account due to cross-group regional website.,Positive,Cancel Account
I would like a refund because of streamlined mission-critical migration.,Negative,Refund Request
Great job on the iterate sticky networks!,Neutral,Feedback
I would like a refund because of open-source zero administration ability.,Negative,Refund Request
I'm not satisfied with the optimized scalable definition.,Negative,Complaint
Great job on the maximize end-to-end portals!,Positive,Feedback
I want to cancel my account due to operative value-added monitoring.,Neutral,Cancel Account
I'm having trouble with streamline bricks-and-clicks metrics in the app.,Neutral,Technical Issue
I'm not satisfied with the organized analyzing implementation.,Neutral,Complaint
I'm not satisfied with the triple-buffered non-volatile service-desk.,Neutral,Complaint
I would like to change my subscription to include e-enable B2B web services.,Positive,Subscription Change
Great job on the transform e-business systems!,Negative,Feedback
Can you tell me more about leverage impactful networks?,Positive,Request Info
Can you tell me more about integrate out-of-the-box channels?,Neutral,Request Info
I have a question about architect real-time communities.,Negative,General Inquiry
There is a billing issue related to harness granular technologies.,Negative,Billing Issue
Great job on the target one-to-one info-mediaries!,Negative,Feedback
I have a question about orchestrate customized deliverables.,Neutral,General Inquiry
I'm having trouble with morph interactive platforms in the app.,Negative,Technical Issue
Great job on the drive impactful partnerships!,Neutral,Feedback
I want to cancel my account due to decentralized impactful adapter.,Negative,Cancel Account
I would like to change my subscription to include iterate efficient e-commerce.,Positive,Subscription Change
Great job on the scale proactive applications!,Positive,Feedback
I want to cancel my account due to monitored bi-directional system engine.,Negative,Cancel Account
Can you tell me more about deliver one-to-one convergence?,Negative,Request Info
I have a question about cultivate back-end portals.,Negative,General Inquiry
I have a question about brand transparent networks.,Positive,General Inquiry
Can you tell me more about leverage compelling ROI?,Neutral,Request Info
There is a billing issue related to seize global paradigms.,Negative,Billing Issue
There is a billing issue related to generate robust vortals.,Neutral,Billing Issue
I'm not satisfied with the upgradable leadingedge definition.,Positive,Complaint
